file,line,crate,bucket,current_literal,replacement,snippet
crates/kiln-gdn-kernel/tests/gates_parity.rs,163,kiln-gdn-kernel,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-marlin-gemm/tests/parity.rs,162,kiln-marlin-gemm,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0).ok() {
crates/kiln-marlin-gemm/tests/parity.rs,203,kiln-marlin-gemm,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0).ok() {
crates/kiln-model/src/backend/cuda.rs,1006,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/backend/cuda.rs,1035,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/backend/cuda.rs,1091,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/backend/cuda.rs,1213,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/backend/cuda.rs,1243,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/backend/cuda.rs,1275,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/backend/mod.rs,1196,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,5218,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,5305,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,5349,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,5383,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,5407,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,5449,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,5491,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,5538,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,5569,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,5600,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,5631,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,5655,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,5688,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,5719,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,5743,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,5783,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,5816,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,5842,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,5881,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,5926,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,5969,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,5996,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,6020,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,6044,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,6080,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,6117,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,6165,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,6190,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,6231,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,6273,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,6324,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,6376,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,6439,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,6517,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,6563,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,6644,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,6690,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,6745,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,6869,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,6909,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,6946,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,6983,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,7034,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,7084,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,7126,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,7185,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,7262,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,7343,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,7453,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,7492,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,7529,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,7566,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,7603,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,7664,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,7728,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,7803,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/cuda_train.rs,7838,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/forward.rs,17568,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/forward.rs,18951,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/forward.rs,21446,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/forward.rs,21590,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/forward.rs,21820,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/forward.rs,21936,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/forward.rs,22035,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/forward.rs,22160,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/forward.rs,22304,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/forward.rs,22398,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/src/forward.rs,23582,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-model/tests/marlin_qproj_parity.rs,184,kiln-model,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0).ok() {
crates/kiln-opd-loss-kernel/examples/bench_opd_topk_kl.rs,28,kiln-opd-loss-kernel,example,Device::new_cuda(0),kiln_core::device::cuda_from_args_or_primary(),"let device = Device::new_cuda(0).context(""Cuda device 0"")?;"
crates/kiln-opd-loss-kernel/src/tests.rs,442,kiln-opd-loss-kernel,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = Device::new_cuda(0)?;
crates/kiln-opd-loss-kernel/src/tests.rs,450,kiln-opd-loss-kernel,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = Device::new_cuda(0)?;
crates/kiln-opd-loss-kernel/src/tests.rs,458,kiln-opd-loss-kernel,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = Device::new_cuda(0)?;
crates/kiln-opd-loss-kernel/src/tests.rs,508,kiln-opd-loss-kernel,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = Device::new_cuda(0)?;
crates/kiln-opd-loss-kernel/src/tests.rs,516,kiln-opd-loss-kernel,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = Device::new_cuda(0)?;
crates/kiln-opd-loss-kernel/src/tests.rs,524,kiln-opd-loss-kernel,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = Device::new_cuda(0)?;
crates/kiln-opd-loss-kernel/src/tests.rs,761,kiln-opd-loss-kernel,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = Device::new_cuda(0)?;
crates/kiln-rmsnorm-kernel/examples/phase10_microbench.rs,97,kiln-rmsnorm-kernel,example,Device::new_cuda(0),kiln_core::device::cuda_from_args_or_primary(),let device = Device::new_cuda(0)?;
crates/kiln-rmsnorm-kernel/src/lib.rs,3880,kiln-rmsnorm-kernel,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),Device::new_cuda(0).ok()
crates/kiln-server/src/device.rs,24,kiln-server,production,Device::new_cuda_with_stream(0),kiln_core::device::primary_cuda(),let device = Device::new_cuda_with_stream(0)?;
crates/kiln-server/src/device.rs,31,kiln-server,production,Device::new_cuda(0),kiln_core::device::primary_cuda(),return Ok(Device::new_cuda(0)?);
crates/kiln-train/examples/cuda_grpo_ablation.rs,857,kiln-train,example,Device::new_cuda(0),kiln_core::device::cuda_from_args_or_primary(),"let device = candle_core::Device::new_cuda(0).context(""create CUDA device 0"")?;"
crates/kiln-train/examples/cuda_grpo_behavioral_eval.rs,302,kiln-train,example,Device::new_cuda(0),kiln_core::device::cuda_from_args_or_primary(),"let device = candle_core::Device::new_cuda(0).context(""create CUDA device 0"")?;"
crates/kiln-train/examples/cuda_opd_remote.rs,269,kiln-train,example,Device::new_cuda(0),kiln_core::device::cuda_from_args_or_primary(),let device = candle_core::Device::new_cuda(0)?;
crates/kiln-train/examples/cuda_sft_file.rs,342,kiln-train,example,Device::new_cuda(0),kiln_core::device::cuda_from_args_or_primary(),"let device = candle_core::Device::new_cuda(0).context(""create CUDA device 0"")?;"
crates/kiln-train/examples/long_context_grpo_bench.rs,370,kiln-train,example,Device::new_cuda(0),kiln_core::device::cuda_from_args_or_primary(),"let device = candle_core::Device::new_cuda(0).context(""create CUDA device 0"")?;"
crates/kiln-train/src/cuda_train.rs,2572,kiln-train,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-train/src/cuda_train.rs,2606,kiln-train,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-train/src/cuda_train.rs,2645,kiln-train,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-train/src/cuda_train.rs,2694,kiln-train,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-train/src/cuda_train.rs,2814,kiln-train,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-train/src/cuda_train.rs,2989,kiln-train,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-train/src/cuda_train.rs,3201,kiln-train,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-train/src/cuda_train.rs,3356,kiln-train,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-train/src/cuda_train.rs,3472,kiln-train,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-train/src/cuda_train.rs,3604,kiln-train,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-train/src/cuda_train.rs,3658,kiln-train,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-train/src/cuda_train.rs,3731,kiln-train,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-train/src/cuda_train.rs,3934,kiln-train,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-train/src/cuda_train.rs,4013,kiln-train,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-train/src/cuda_train.rs,4095,kiln-train,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-train/src/trainer.rs,15910,kiln-train,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-train/src/trainer.rs,16023,kiln-train,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),let device = match Device::new_cuda(0) {
crates/kiln-train/tests/vk_cuda_opd_parity.rs,34,kiln-train,test,Device::new_cuda(0),kiln_core::test_support::cuda_device(),Device::new_cuda(0).ok()
