op,dtype,backend,category,fwd_atol,bwd_atol,fwd_determinism,bwd_determinism,coverage,notes
reshape,F32,cpu,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
permute,F32,metal,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
permute,F32,vulkan,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
permute,BF16,cpu,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
permute,BF16,cuda,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
permute,BF16,metal,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
permute,BF16,vulkan,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
permute,F16,cpu,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
permute,F16,cuda,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
permute,F16,metal,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
permute,F16,vulkan,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
narrow,F32,cpu,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
narrow,F32,cuda,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
narrow,F32,metal,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
narrow,F32,vulkan,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
narrow,BF16,cpu,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
narrow,BF16,cuda,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
narrow,BF16,metal,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
narrow,BF16,vulkan,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
narrow,F16,cpu,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
narrow,F16,cuda,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
narrow,F16,metal,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
narrow,F16,vulkan,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
contiguous,F32,cpu,shape-only,0.0,,constructive,n/a,today,no arithmetic; layout-only.
contiguous,F32,cuda,shape-only,0.0,,constructive,n/a,today,no arithmetic; layout-only.
contiguous,F32,metal,shape-only,0.0,,constructive,n/a,today,no arithmetic; layout-only.
contiguous,F32,vulkan,shape-only,0.0,,constructive,n/a,today,no arithmetic; layout-only.
contiguous,BF16,cpu,shape-only,0.0,,constructive,n/a,today,no arithmetic; layout-only.
contiguous,BF16,cuda,shape-only,0.0,,constructive,n/a,today,no arithmetic; layout-only.
contiguous,BF16,metal,shape-only,0.0,,constructive,n/a,today,no arithmetic; layout-only.
contiguous,BF16,vulkan,shape-only,0.0,,constructive,n/a,today,no arithmetic; layout-only.
contiguous,F16,cpu,shape-only,0.0,,constructive,n/a,today,no arithmetic; layout-only.
contiguous,F16,cuda,shape-only,0.0,,constructive,n/a,today,no arithmetic; layout-only.
contiguous,F16,metal,shape-only,0.0,,constructive,n/a,today,no arithmetic; layout-only.
contiguous,F16,vulkan,shape-only,0.0,,constructive,n/a,today,no arithmetic; layout-only.
cast,F32,cpu,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
cast,F32,cuda,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
cast,F32,metal,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
cast,F32,vulkan,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
cast,BF16,cpu,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
cast,BF16,cuda,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
cast,BF16,metal,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
cast,BF16,vulkan,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
cast,F16,cpu,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
cast,F16,cuda,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
cast,F16,metal,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
cast,F16,vulkan,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
add,F32,cpu,elementwise,0.0,1e-05,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
add,F32,cuda,elementwise,0.0,1e-05,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
add,F32,metal,elementwise,0.0,1e-05,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
add,F32,vulkan,elementwise,0.0,1e-05,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
add,BF16,cpu,elementwise,0.001,0.01,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
add,BF16,cuda,elementwise,0.001,0.01,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
add,BF16,metal,elementwise,0.001,0.01,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
add,BF16,vulkan,elementwise,0.001,0.01,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
add,F16,cpu,elementwise,0.001,0.005,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
add,F16,cuda,elementwise,0.001,0.005,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
add,F16,metal,elementwise,0.001,0.005,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
add,F16,vulkan,elementwise,0.001,0.005,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
sub,F32,cpu,elementwise,0.0,1e-05,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
sub,F32,cuda,elementwise,0.0,1e-05,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
sub,F32,metal,elementwise,0.0,1e-05,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
sub,F32,vulkan,elementwise,0.0,1e-05,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
sub,BF16,cpu,elementwise,0.001,0.01,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
sub,BF16,cuda,elementwise,0.001,0.01,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
sub,BF16,metal,elementwise,0.001,0.01,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
sub,BF16,vulkan,elementwise,0.001,0.01,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
sub,F16,cpu,elementwise,0.001,0.005,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
sub,F16,cuda,elementwise,0.001,0.005,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
sub,F16,metal,elementwise,0.001,0.005,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
sub,F16,vulkan,elementwise,0.001,0.005,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
mul,F32,cpu,elementwise,0.0,1e-05,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
mul,F32,cuda,elementwise,0.0,1e-05,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
mul,F32,metal,elementwise,0.0,1e-05,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
mul,F32,vulkan,elementwise,0.0,1e-05,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
mul,BF16,cpu,elementwise,0.001,0.01,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
mul,BF16,cuda,elementwise,0.001,0.01,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
mul,BF16,metal,elementwise,0.001,0.01,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
mul,BF16,vulkan,elementwise,0.001,0.01,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
mul,F16,cpu,elementwise,0.001,0.005,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
mul,F16,cuda,elementwise,0.001,0.005,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
mul,F16,metal,elementwise,0.001,0.005,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
mul,F16,vulkan,elementwise,0.001,0.005,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
div,F32,cpu,elementwise,0.0,1e-05,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
div,F32,cuda,elementwise,0.0,1e-05,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
div,F32,metal,elementwise,0.0,1e-05,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
div,F32,vulkan,elementwise,0.0,1e-05,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
div,BF16,cpu,elementwise,0.001,0.01,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
div,BF16,cuda,elementwise,0.001,0.01,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
div,BF16,metal,elementwise,0.001,0.01,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
div,BF16,vulkan,elementwise,0.001,0.01,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
div,F16,cpu,elementwise,0.001,0.005,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
div,F16,cuda,elementwise,0.001,0.005,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
div,F16,metal,elementwise,0.001,0.005,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
div,F16,vulkan,elementwise,0.001,0.005,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
silu,F32,cpu,elementwise,0.0,1e-05,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
silu,F32,cuda,elementwise,0.0,1e-05,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
silu,F32,metal,elementwise,0.0,1e-05,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
silu,F32,vulkan,elementwise,0.0,1e-05,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
silu,BF16,cpu,elementwise,0.001,0.01,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
silu,BF16,cuda,elementwise,0.001,0.01,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
silu,BF16,metal,elementwise,0.001,0.01,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
silu,BF16,vulkan,elementwise,0.001,0.01,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
sigmoid,F32,cpu,elementwise,0.0,1e-05,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
sigmoid,F32,cuda,elementwise,0.0,1e-05,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
sigmoid,F32,metal,elementwise,0.0,1e-05,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
sigmoid,F32,vulkan,elementwise,0.0,1e-05,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
sigmoid,BF16,cpu,elementwise,0.001,0.01,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
sigmoid,BF16,cuda,elementwise,0.001,0.01,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
sigmoid,BF16,metal,elementwise,0.001,0.01,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
sigmoid,BF16,vulkan,elementwise,0.001,0.01,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
mul_sigmoid_gate,F32,cpu,elementwise,0.0,1e-05,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
mul_sigmoid_gate,F32,cuda,elementwise,0.0,1e-05,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
mul_sigmoid_gate,F32,metal,elementwise,0.0,1e-05,constructive,constructive,scheduled,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
mul_sigmoid_gate,F32,vulkan,elementwise,0.0,1e-05,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
mul_sigmoid_gate,BF16,cpu,elementwise,0.001,0.01,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
mul_sigmoid_gate,BF16,cuda,elementwise,0.001,0.01,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
mul_sigmoid_gate,BF16,metal,elementwise,0.001,0.01,constructive,constructive,scheduled,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
mul_sigmoid_gate,BF16,vulkan,elementwise,0.001,0.01,constructive,constructive,today,bit-stable in forward; atomic-free in backward via bcast-aware reduction.
softmax_last_dim,F32,cpu,reduction,0.0,1e-05,constructive,constructive,today,fixed-tree reduction; deterministic.
softmax_last_dim,F32,cuda,reduction,0.0,1e-05,constructive,constructive,today,fixed-tree reduction; deterministic.
softmax_last_dim,F32,metal,reduction,0.0,1e-05,constructive,constructive,today,fixed-tree reduction; deterministic.
softmax_last_dim,F32,vulkan,reduction,0.0,1e-05,constructive,constructive,today,fixed-tree reduction; deterministic.
softmax_last_dim,BF16,cpu,reduction,0.001,0.01,constructive,constructive,today,fixed-tree reduction; deterministic.
softmax_last_dim,BF16,cuda,reduction,0.001,0.01,constructive,constructive,today,fixed-tree reduction; deterministic.
softmax_last_dim,BF16,metal,reduction,0.001,0.01,constructive,constructive,today,fixed-tree reduction; deterministic.
softmax_last_dim,BF16,vulkan,reduction,0.001,0.01,constructive,constructive,today,fixed-tree reduction; deterministic.
sum_all,F32,cpu,reduction,0.0,1e-05,constructive,constructive,today,fixed-tree reduction; deterministic.
sum_all,F32,cuda,reduction,0.0,1e-05,constructive,constructive,today,fixed-tree reduction; deterministic.
sum_all,F32,metal,reduction,0.0,1e-05,constructive,constructive,today,fixed-tree reduction; deterministic.
sum_all,F32,vulkan,reduction,0.0,1e-05,constructive,constructive,today,fixed-tree reduction; deterministic.
sum_all,BF16,cpu,reduction,0.001,0.01,constructive,constructive,today,fixed-tree reduction; deterministic.
sum_all,BF16,cuda,reduction,0.001,0.01,constructive,constructive,today,fixed-tree reduction; deterministic.
sum_all,BF16,metal,reduction,0.001,0.01,constructive,constructive,today,fixed-tree reduction; deterministic.
sum_all,BF16,vulkan,reduction,0.001,0.01,constructive,constructive,today,fixed-tree reduction; deterministic.
mean_all,F32,cpu,reduction,0.0,1e-05,constructive,constructive,today,fixed-tree reduction; deterministic.
mean_all,F32,cuda,reduction,0.0,1e-05,constructive,constructive,today,fixed-tree reduction; deterministic.
mean_all,F32,metal,reduction,0.0,1e-05,constructive,constructive,today,fixed-tree reduction; deterministic.
mean_all,F32,vulkan,reduction,0.0,1e-05,constructive,constructive,today,fixed-tree reduction; deterministic.
mean_all,BF16,cpu,reduction,0.001,0.01,constructive,constructive,today,fixed-tree reduction; deterministic.
mean_all,BF16,cuda,reduction,0.001,0.01,constructive,constructive,today,fixed-tree reduction; deterministic.
mean_all,BF16,metal,reduction,0.001,0.01,constructive,constructive,today,fixed-tree reduction; deterministic.
mean_all,BF16,vulkan,reduction,0.001,0.01,constructive,constructive,today,fixed-tree reduction; deterministic.
rmsnorm,F32,cpu,reduction,0.0,1e-05,constructive,constructive,today,fixed-tree reduction; deterministic.
rmsnorm,F32,cuda,reduction,0.0,1e-05,constructive,constructive,today,fixed-tree reduction; deterministic.
rmsnorm,F32,metal,reduction,0.0,1e-05,constructive,constructive,today,fixed-tree reduction; deterministic.
rmsnorm,F32,vulkan,reduction,0.0,1e-05,constructive,constructive,today,fixed-tree reduction; deterministic.
rmsnorm,BF16,cpu,reduction,0.001,0.01,constructive,constructive,today,fixed-tree reduction; deterministic.
rmsnorm,BF16,cuda,reduction,0.001,0.01,constructive,constructive,today,fixed-tree reduction; deterministic.
rmsnorm,BF16,metal,reduction,0.001,0.01,constructive,constructive,today,fixed-tree reduction; deterministic.
rmsnorm,BF16,vulkan,reduction,0.001,0.01,constructive,constructive,today,fixed-tree reduction; deterministic.
l2norm,F32,cpu,reduction,0.0,1e-05,constructive,constructive,today,fixed-tree reduction; deterministic.
l2norm,F32,cuda,reduction,0.0,1e-05,constructive,constructive,today,fixed-tree reduction; deterministic.
l2norm,F32,metal,reduction,0.0,1e-05,constructive,constructive,scheduled,fixed-tree reduction; deterministic.
l2norm,F32,vulkan,reduction,0.0,1e-05,constructive,constructive,today,fixed-tree reduction; deterministic.
l2norm,BF16,cpu,reduction,0.001,0.01,constructive,constructive,today,fixed-tree reduction; deterministic.
l2norm,BF16,cuda,reduction,0.001,0.01,constructive,constructive,today,fixed-tree reduction; deterministic.
l2norm,BF16,metal,reduction,0.001,0.01,constructive,constructive,scheduled,fixed-tree reduction; deterministic.
l2norm,BF16,vulkan,reduction,0.001,0.01,constructive,constructive,today,fixed-tree reduction; deterministic.
matmul,F32,cpu,matmul-bwd-atomic,0.0,1e-05,constructive,tolerance-bounded,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
matmul,F32,cuda,matmul-bwd-atomic,0.0,1e-05,constructive,tolerance-bounded,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
matmul,F32,metal,matmul-bwd-atomic,0.0,1e-05,constructive,tolerance-bounded,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
matmul,F32,vulkan,matmul-bwd-atomic,0.0,1e-05,constructive,tolerance-bounded,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
matmul,BF16,cpu,matmul-bwd-atomic,0.001,0.02,constructive,tolerance-bounded,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
matmul,BF16,cuda,matmul-bwd-atomic,0.001,0.02,constructive,tolerance-bounded,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
matmul,BF16,metal,matmul-bwd-atomic,0.001,0.02,constructive,tolerance-bounded,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
matmul,BF16,vulkan,matmul-bwd-atomic,0.001,0.02,constructive,tolerance-bounded,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
matmul,F16,cpu,matmul-bwd-atomic,0.001,,constructive,n/a,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
matmul,F16,cuda,matmul-bwd-atomic,0.001,,constructive,n/a,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
matmul,F16,metal,matmul-bwd-atomic,0.001,,constructive,n/a,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
matmul,F16,vulkan,matmul-bwd-atomic,0.001,,constructive,n/a,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
matmul_batched,F32,cpu,matmul-bwd-atomic,0.0,1e-05,constructive,tolerance-bounded,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
matmul_batched,F32,cuda,matmul-bwd-atomic,0.0,1e-05,constructive,tolerance-bounded,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
matmul_batched,F32,metal,matmul-bwd-atomic,0.0,1e-05,constructive,tolerance-bounded,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
matmul_batched,F32,vulkan,matmul-bwd-atomic,0.0,1e-05,constructive,tolerance-bounded,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
matmul_batched,BF16,cpu,matmul-bwd-atomic,0.001,0.02,constructive,tolerance-bounded,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
matmul_batched,BF16,cuda,matmul-bwd-atomic,0.001,0.02,constructive,tolerance-bounded,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
matmul_batched,BF16,metal,matmul-bwd-atomic,0.001,0.02,constructive,tolerance-bounded,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
matmul_batched,BF16,vulkan,matmul-bwd-atomic,0.001,0.02,constructive,tolerance-bounded,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
matmul_batched,F16,cpu,matmul-bwd-atomic,0.001,,constructive,n/a,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
matmul_batched,F16,cuda,matmul-bwd-atomic,0.001,,constructive,n/a,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
matmul_batched,F16,metal,matmul-bwd-atomic,0.001,,constructive,n/a,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
matmul_batched,F16,vulkan,matmul-bwd-atomic,0.001,,constructive,n/a,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
matmul_bf16w_marlin,BF16,cpu,matmul,0.001,,constructive,n/a,today,deterministic under CUBLAS_WORKSPACE_CONFIG=:4096:8; the workspace pin is mandatory.
matmul_bf16w_marlin,BF16,cuda,matmul,0.001,,constructive,n/a,today,deterministic under CUBLAS_WORKSPACE_CONFIG=:4096:8; the workspace pin is mandatory.
matmul_bf16w_marlin,BF16,metal,matmul,0.001,,constructive,n/a,scheduled,deterministic under CUBLAS_WORKSPACE_CONFIG=:4096:8; the workspace pin is mandatory.
matmul_bf16w_marlin,BF16,vulkan,matmul,0.001,,constructive,n/a,today,deterministic under CUBLAS_WORKSPACE_CONFIG=:4096:8; the workspace pin is mandatory.
linear,F32,cpu,matmul-bwd-atomic,0.0,1e-05,constructive,tolerance-bounded,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
linear,F32,cuda,matmul-bwd-atomic,0.0,1e-05,constructive,tolerance-bounded,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
linear,F32,metal,matmul-bwd-atomic,0.0,1e-05,constructive,tolerance-bounded,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
linear,F32,vulkan,matmul-bwd-atomic,0.0,1e-05,constructive,tolerance-bounded,scheduled,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
linear,BF16,cpu,matmul-bwd-atomic,0.001,0.02,constructive,tolerance-bounded,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
linear,BF16,cuda,matmul-bwd-atomic,0.001,0.02,constructive,tolerance-bounded,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
linear,BF16,metal,matmul-bwd-atomic,0.001,0.02,constructive,tolerance-bounded,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
linear,BF16,vulkan,matmul-bwd-atomic,0.001,0.02,constructive,tolerance-bounded,scheduled,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
lora_add,F32,cpu,matmul-bwd-atomic,0.0,1e-05,constructive,tolerance-bounded,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
lora_add,F32,cuda,matmul-bwd-atomic,0.0,1e-05,constructive,tolerance-bounded,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
lora_add,F32,metal,matmul-bwd-atomic,0.0,1e-05,constructive,tolerance-bounded,scheduled,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
lora_add,F32,vulkan,matmul-bwd-atomic,0.0,1e-05,constructive,tolerance-bounded,scheduled,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
lora_add,BF16,cpu,matmul-bwd-atomic,0.001,0.02,constructive,tolerance-bounded,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
lora_add,BF16,cuda,matmul-bwd-atomic,0.001,0.02,constructive,tolerance-bounded,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
lora_add,BF16,metal,matmul-bwd-atomic,0.001,0.02,constructive,tolerance-bounded,scheduled,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
lora_add,BF16,vulkan,matmul-bwd-atomic,0.001,0.02,constructive,tolerance-bounded,scheduled,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
lora_linear,F32,cpu,matmul-bwd-atomic,0.0,1e-05,constructive,tolerance-bounded,today,dW path uses per-column atomic accumulation on some backends; tolerance reflects BF16-ULP band.
