api	crate	path_line	snippet
candle_core::cuda_backend::CudaDevice	kiln-tensor	crates/kiln-tensor/src/cuda_storage.rs:4	//! `Arc<candle_core::cuda_backend::CudaDevice>` for stream affinity.
candle_core::Tensor	kiln-tensor	crates/kiln-tensor/src/cuda_storage.rs:11	//! > `cudarc::CudaSlice` directly. No `candle_core::Tensor` field on
candle_core::Tensor	kiln-tensor	crates/kiln-tensor/src/cuda_storage.rs:14	//! `CudaStorage` does **not** hold a `candle_core::Tensor`. The buffer
candle_core::cuda_backend::CudaDevice	kiln-tensor	crates/kiln-tensor/src/cuda_storage.rs:37	use candle_core::cuda_backend::CudaDevice;
candle_core::cuda_backend::cudarc::driver::CudaSlice	kiln-tensor	crates/kiln-tensor/src/cuda_storage.rs:38	use candle_core::cuda_backend::cudarc::driver::CudaSlice;
candle_core::Device	kiln-tensor	crates/kiln-tensor/src/cuda_storage.rs:184	use candle_core::Device as CandleDevice;
candle_core::safetensors::load	kiln-tensor	crates/kiln-tensor/src/safetensors.rs:3	//! Replaces `candle_core::safetensors::load` at the 14 call sites the
candle_core::safetensors::load	kiln-tensor	crates/kiln-tensor/src/safetensors.rs:27	//! let model = candle_core::safetensors::load(path, &candle_core::Device::Cpu)?;
candle_core::Device::Cpu	kiln-tensor	crates/kiln-tensor/src/safetensors.rs:27	//! let model = candle_core::safetensors::load(path, &candle_core::Device::Cpu)?;
candle_core::cuda_backend::CudaDevice	kiln-tensor	crates/kiln-tensor/src/cuda_allocator.rs:3	//! Wraps an `Arc<candle_core::cuda_backend::CudaDevice>` (the same
candle_core::cuda_backend::CudaDevice	kiln-tensor	crates/kiln-tensor/src/cuda_allocator.rs:26	use candle_core::cuda_backend::CudaDevice;
candle_core::Device	kiln-tensor	crates/kiln-tensor/src/cuda_allocator.rs:170	use candle_core::Device as CandleDevice;
candle_core::Device	kiln-server	crates/kiln-server/examples/flce_preflight_bench.rs:23	use candle_core::Device;
candle_core::Device	kiln-server	crates/kiln-server/examples/phase10_rmsnorm_bench.rs:37	use candle_core::Device;
candle_core::Device	kiln-server	crates/kiln-server/examples/flce_phase_a_validation_bench.rs:48	use candle_core::Device;
candle_core::Device::Metal	kiln-server	crates/kiln-server/src/main.rs:678	let is_metal = matches!(device, candle_core::Device::Metal(_));
candle_core::Device	kiln-server	crates/kiln-server/src/main.rs:818	fn precompile_metal_custom_kernels(device: &candle_core::Device) {
candle_core::Device::Metal	kiln-server	crates/kiln-server/src/main.rs:819	if !matches!(device, candle_core::Device::Metal(_)) {
candle_core::Device	kiln-server	crates/kiln-server/src/main.rs:837	fn precompile_metal_custom_kernels(_device: &candle_core::Device) {}
candle_core::Device	kiln-server	crates/kiln-server/src/main.rs:840	fn precompile_vulkan_custom_kernels(_device: &candle_core::Device) {
candle_core::Device	kiln-server	crates/kiln-server/src/main.rs:855	fn precompile_vulkan_custom_kernels(_device: &candle_core::Device) {}
candle_core::Device	kiln-server	crates/kiln-server/src/bench.rs:110	device: &candle_core::Device,
candle_core::DType::BF16	kiln-server	crates/kiln-server/src/bench.rs:709	kiln_core::config::DType::BF16 => candle_core::DType::BF16,
candle_core::DType::F16	kiln-server	crates/kiln-server/src/bench.rs:710	kiln_core::config::DType::FP16 => candle_core::DType::F16,
candle_core::DType::F32	kiln-server	crates/kiln-server/src/bench.rs:711	kiln_core::config::DType::FP32 => candle_core::DType::F32,
candle_core::DType::BF16	kiln-server	crates/kiln-server/src/bench.rs:864	kiln_core::config::DType::BF16 => candle_core::DType::BF16,
candle_core::DType::F16	kiln-server	crates/kiln-server/src/bench.rs:865	kiln_core::config::DType::FP16 => candle_core::DType::F16,
candle_core::DType::F32	kiln-server	crates/kiln-server/src/bench.rs:866	kiln_core::config::DType::FP32 => candle_core::DType::F32,
candle_core::Device::Metal	kiln-server	crates/kiln-server/src/bench.rs:921	} else if matches!(device, candle_core::Device::Metal(_))
candle_core::Device::Metal	kiln-server	crates/kiln-server/src/bench.rs:980	next_token = if matches!(device, candle_core::Device::Metal(_))
candle_core::DType::BF16	kiln-server	crates/kiln-server/src/bench.rs:1430	kiln_core::config::DType::BF16 => candle_core::DType::BF16,
candle_core::DType::F16	kiln-server	crates/kiln-server/src/bench.rs:1431	kiln_core::config::DType::FP16 => candle_core::DType::F16,
candle_core::DType::F32	kiln-server	crates/kiln-server/src/bench.rs:1432	kiln_core::config::DType::FP32 => candle_core::DType::F32,
candle_core::DType::BF16	kiln-server	crates/kiln-server/src/bench.rs:1642	kiln_core::config::DType::BF16 => candle_core::DType::BF16,
candle_core::DType::F16	kiln-server	crates/kiln-server/src/bench.rs:1643	kiln_core::config::DType::FP16 => candle_core::DType::F16,
candle_core::DType::F32	kiln-server	crates/kiln-server/src/bench.rs:1644	kiln_core::config::DType::FP32 => candle_core::DType::F32,
candle_core::DType::BF16	kiln-server	crates/kiln-server/src/bench.rs:1918	kiln_core::config::DType::BF16 => candle_core::DType::BF16,
candle_core::DType::F16	kiln-server	crates/kiln-server/src/bench.rs:1919	kiln_core::config::DType::FP16 => candle_core::DType::F16,
candle_core::DType::F32	kiln-server	crates/kiln-server/src/bench.rs:1920	kiln_core::config::DType::FP32 => candle_core::DType::F32,
candle_core::DType::F32	kiln-server	crates/kiln-server/src/bench.rs:2008	let prefill_last_fp32 = prefill_last.to_dtype(candle_core::DType::F32)?;
candle_core::Device	kiln-server	crates/kiln-server/src/device.rs:10	use candle_core::Device;
candle_core::utils::cuda_is_available	kiln-server	crates/kiln-server/src/device.rs:21	if candle_core::utils::cuda_is_available() {
candle_core::utils::metal_is_available	kiln-server	crates/kiln-server/src/device.rs:51	if candle_core::utils::metal_is_available() {
candle_core::DType	kiln-server	crates/kiln-server/src/state.rs:7	use candle_core::DType;
candle_core::Device	kiln-server	crates/kiln-server/src/state.rs:1556	device: candle_core::Device,
candle_core::Device::Metal	kiln-server	crates/kiln-server/src/state.rs:1667	if requested && matches!(device, candle_core::Device::Metal(_)) && !metal_override {
candle_core::Device	kiln-server	crates/kiln-server/src/state.rs:2010	fn linear_attention_state_bytes(config: &ModelConfig, device: &candle_core::Device) -> u64 {
candle_core::Device::Metal	kiln-server	crates/kiln-server/src/state.rs:2016	(candle_core::Device::Metal(_), kiln_core::config::DType::BF16) => 2,
candle_core::Device::Metal	kiln-server	crates/kiln-server/src/state.rs:2018	(candle_core::Device::Metal(_), kiln_core::config::DType::FP16) => 2,
candle_core::Device	kiln-server	crates/kiln-server/src/state.rs:2143	fn is_metal_device(device: &candle_core::Device) -> bool {
candle_core::Device::Metal	kiln-server	crates/kiln-server/src/state.rs:2146	matches!(device, candle_core::Device::Metal(_))
candle_core::Device	kiln-server	crates/kiln-server/src/state.rs:2155	fn device_needs_inference_prewarm(device: &candle_core::Device) -> bool {
candle_core::Device::Cpu	kiln-server	crates/kiln-server/src/state.rs:2158	let is_vulkan = matches!(device, candle_core::Device::Cpu)
candle_core::Device	kiln-server	crates/kiln-server/src/state.rs:2171	device: &candle_core::Device,
candle_core::Device::Cuda	kiln-server	crates/kiln-server/src/state.rs:2175	candle_core::Device::Cuda(_) => {
candle_core::Device	kiln-server	crates/kiln-server/src/state.rs:2184	device: &candle_core::Device,
candle_core::Device::Cuda	kiln-server	crates/kiln-server/src/state.rs:2189	candle_core::Device::Cuda(_) => {
candle_core::Device::Metal	kiln-server	crates/kiln-server/src/state.rs:2203	candle_core::Device::Metal(_) => {
candle_core::Device::Cpu	kiln-server	crates/kiln-server/src/state.rs:2664	let device = candle_core::Device::Cpu;
candle_core::Device::Cpu	kiln-server	crates/kiln-server/src/state.rs:2714	let device = candle_core::Device::Cpu;
candle_core::Device::Cpu	kiln-server	crates/kiln-server/src/state.rs:2755	let device = candle_core::Device::Cpu;
candle_core::Device::Cpu	kiln-server	crates/kiln-server/src/state.rs:2789	let device = candle_core::Device::Cpu;
candle_core::Device::Cpu	kiln-server	crates/kiln-server/src/state.rs:2851	let device = candle_core::Device::Cpu;
candle_core::Device::Cpu	kiln-server	crates/kiln-server/src/state.rs:2896	let device = candle_core::Device::Cpu;
candle_core::Device::Cpu	kiln-server	crates/kiln-server/src/state.rs:2932	let device = candle_core::Device::Cpu;
candle_core::Device::Cpu	kiln-server	crates/kiln-server/src/state.rs:2980	let device = candle_core::Device::Cpu;
candle_core::Device::Cpu	kiln-server	crates/kiln-server/src/state.rs:3051	let device = candle_core::Device::Cpu;
candle_core::Device::Cpu	kiln-server	crates/kiln-server/src/state.rs:3325	&candle_core::Device::Cpu,
candle_core::utils::cuda_is_available	kiln-server	crates/kiln-server/src/cli.rs:902	let cuda_status = if candle_core::utils::cuda_is_available() {
candle_core::Device::Cpu	kiln-vulkan-kernel	crates/kiln-vulkan-kernel/examples/dispatch_test.rs:22	let device = candle_core::Device::Cpu;
candle_core::Var	kiln-vulkan-kernel	crates/kiln-vulkan-kernel/tests/vk_tensor_parity.rs:42	) -> Result<(candle_core::Var, VkTensor)> {
candle_core::Var::from_tensor	kiln-vulkan-kernel	crates/kiln-vulkan-kernel/tests/vk_tensor_parity.rs:44	let var = candle_core::Var::from_tensor(&t)?;
candle_core::Var	kiln-vulkan-kernel	crates/kiln-vulkan-kernel/tests/vk_matmul_parity.rs:40	) -> Result<(candle_core::Var, VkTensor)> {
candle_core::Var::from_tensor	kiln-vulkan-kernel	crates/kiln-vulkan-kernel/tests/vk_matmul_parity.rs:42	let var = candle_core::Var::from_tensor(&t)?;
candle_core::Var	kiln-vulkan-kernel	crates/kiln-vulkan-kernel/tests/vk_opd_parity.rs:41	use candle_core::Var;
candle_core::Var	kiln-vulkan-kernel	crates/kiln-vulkan-kernel/tests/vk_rmsnorm_parity.rs:33	) -> Result<(candle_core::Var, VkTensor)> {
candle_core::Var::from_tensor	kiln-vulkan-kernel	crates/kiln-vulkan-kernel/tests/vk_rmsnorm_parity.rs:35	let var = candle_core::Var::from_tensor(&t)?;
candle_core::D::Minus1	kiln-vulkan-kernel	crates/kiln-vulkan-kernel/tests/gdn_parity.rs:2227	.sum_keepdim(candle_core::D::Minus1)?;
candle_core::D::Minus1	kiln-vulkan-kernel	crates/kiln-vulkan-kernel/tests/gdn_parity.rs:2231	.sum_keepdim(candle_core::D::Minus1)?;
candle_core::Device::Metal	kiln-server	crates/kiln-server/src/api/completions.rs:3252	candle_core::Device::Metal(_) => native_mtp_enabled_for_metal(),
candle_core::Device::Metal	kiln-server	crates/kiln-server/src/api/completions.rs:3263	candle_core::Device::Metal(_) => LONG_PROMPT_SKIP_LAYER_MIN_PROMPT_TOKENS_METAL,
candle_core::Tensor	kiln-server	crates/kiln-server/src/api/completions.rs:3583	fn log_softmax_last_dim(x: &candle_core::Tensor) -> candle_core::Result<candle_core::Tensor> {
candle_core::Result	kiln-server	crates/kiln-server/src/api/completions.rs:3583	fn log_softmax_last_dim(x: &candle_core::Tensor) -> candle_core::Result<candle_core::Tensor> {
candle_core::Tensor	kiln-server	crates/kiln-server/src/api/completions.rs:3583	fn log_softmax_last_dim(x: &candle_core::Tensor) -> candle_core::Result<candle_core::Tensor> {
candle_core::D::Minus1	kiln-server	crates/kiln-server/src/api/completions.rs:3585	.log_sum_exp(candle_core::D::Minus1)?
candle_core::D::Minus1	kiln-server	crates/kiln-server/src/api/completions.rs:3586	.unsqueeze(candle_core::D::Minus1)?;
candle_core::DType::F32	kiln-server	crates/kiln-server/src/api/completions.rs:3622	.to_dtype(candle_core::DType::F32)
candle_core::Result	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/examples/phase10_microbench.rs:13	use candle_core::Result;
candle_core::D::Minus1	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/examples/phase10_microbench.rs:18	let variance = x_f32.sqr()?.mean_keepdim(candle_core::D::Minus1)?;
candle_core::TensorId	kiln-vulkan-kernel	crates/kiln-vulkan-kernel/src/vk_autograd.rs:21	use candle_core::TensorId;
candle_core::CustomOp2	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:11	//!    [`candle_core::CustomOp2`] so the autograd engine saves only `x` and
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:401	candle_core::bail!(
candle_core::Error::Msg	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:410	candle_core::Error::Msg("kiln-rmsnorm-kernel: x must have rank >= 1".to_string())
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:415	candle_core::bail!(
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:422	candle_core::bail!(
candle_core::Storage::Cuda	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:449	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:450	_ => candle_core::bail!("kiln-rmsnorm-kernel: x must be on CUDA"),
candle_core::Storage::Cuda	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:453	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:454	_ => candle_core::bail!("kiln-rmsnorm-kernel: weight must be on CUDA"),
candle_core::Storage::Cuda	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:457	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:458	_ => candle_core::bail!("kiln-rmsnorm-kernel: out must be on CUDA"),
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:490	candle_core::bail!("kiln_fused_rmsnorm failed with status {status}");
candle_core::D::Minus1	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:520	let last_dim = candle_core::D::Minus1;
candle_core::Error::Msg	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:524	candle_core::Error::Msg("rmsnorm_backward_fallback: x must have rank >= 1".to_string())
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:583	candle_core::bail!("fused_rmsnorm_backward requires CUDA tensors");
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:587	candle_core::bail!(
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:595	candle_core::bail!(
candle_core::Error::Msg	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:603	candle_core::Error::Msg("fused_rmsnorm_backward: x must have rank >= 1".to_string())
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:606	candle_core::bail!(
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:612	candle_core::bail!(
candle_core::Storage::Cuda	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:643	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:644	_ => candle_core::bail!("fused_rmsnorm_backward: x must be CUDA"),
candle_core::Storage::Cuda	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:647	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:648	_ => candle_core::bail!("fused_rmsnorm_backward: weight must be CUDA"),
candle_core::Storage::Cuda	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:651	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:652	_ => candle_core::bail!("fused_rmsnorm_backward: grad_out must be CUDA"),
candle_core::Storage::Cuda	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:655	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:656	_ => candle_core::bail!("fused_rmsnorm_backward: grad_x must be CUDA"),
candle_core::Storage::Cuda	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:659	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:660	_ => candle_core::bail!("fused_rmsnorm_backward: grad_w_partial must be CUDA"),
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:702	candle_core::bail!("kiln_fused_rmsnorm_bwd failed with status {status}");
candle_core::Storage::Cuda	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:713	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:714	_ => candle_core::bail!("fused_rmsnorm_backward: grad_w_partial must be CUDA"),
candle_core::Storage::Cuda	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:717	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:718	_ => candle_core::bail!("fused_rmsnorm_backward: grad_w must be CUDA"),
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:742	candle_core::bail!("kiln_f32_to_bf16 failed with status {status}");
candle_core::CustomOp2	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:812	impl candle_core::CustomOp2 for RmsNormCustomOp {
candle_core::Error::Msg	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:826	candle_core::Error::Msg("RmsNormCustomOp::cpu_fwd: x must have rank >= 1".to_string())
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:829	candle_core::bail!(
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:835	candle_core::bail!("RmsNormCustomOp::cpu_fwd: requires contiguous inputs");
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:855	_ => candle_core::bail!(
candle_core::Error::Msg	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:874	candle_core::Error::Msg("RmsNormCustomOp::cuda_fwd: x must have rank >= 1".to_string())
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:877	candle_core::bail!(
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:883	candle_core::bail!("RmsNormCustomOp::cuda_fwd: requires contiguous inputs");
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:886	candle_core::bail!(
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:927	candle_core::bail!(
candle_core::CustomOp2	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:969	/// but routes the forward through [`candle_core::CustomOp2`] so the gradient
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:1050	candle_core::bail!(
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:1057	candle_core::bail!(
candle_core::Error::Msg	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:1066	candle_core::Error::Msg("kiln-rmsnorm-kernel: q must have rank >= 1".to_string())
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:1070	candle_core::bail!(
candle_core::Storage::Cuda	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:1102	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:1103	_ => candle_core::bail!("kiln-rmsnorm-kernel: q must be on CUDA"),
candle_core::Storage::Cuda	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:1106	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:1107	_ => candle_core::bail!("kiln-rmsnorm-kernel: k must be on CUDA"),
candle_core::Storage::Cuda	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:1110	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:1111	_ => candle_core::bail!("kiln-rmsnorm-kernel: q_out must be on CUDA"),
candle_core::Storage::Cuda	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:1114	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:1115	_ => candle_core::bail!("kiln-rmsnorm-kernel: k_out must be on CUDA"),
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:1153	candle_core::bail!("kiln_fused_l2_qk_norm failed with status {status}");
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:1198	candle_core::bail!(
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:1205	candle_core::bail!(
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:1212	candle_core::bail!(
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:1225	candle_core::bail!(
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:1230	candle_core::bail!(
candle_core::Storage::Cuda	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:1265	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:1266	_ => candle_core::bail!("kiln-rmsnorm-kernel: q must be on CUDA"),
candle_core::Storage::Cuda	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:1269	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:1270	_ => candle_core::bail!("kiln-rmsnorm-kernel: k must be on CUDA"),
candle_core::Storage::Cuda	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:1273	candle_core::Storage::Cuda(c) => c,
candle_core::bail	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:1274	_ => candle_core::bail!("kiln-rmsnorm-kernel: q_out must be on CUDA"),
candle_core::Storage::Cuda	kiln-rmsnorm-kernel	crates/kiln-rmsnorm-kernel/src/lib.rs:1277	candle_core::Storage::Cuda(c) => c,
