step_idx,pos_in_k,base_pos,mtp_pos,last_token,mtp_top1,mtp_top1_logit,main_top1,main_top1_logit,accepted,topk_match
70,0,571,5,7289,86844,24.625000,86844,23.625000,1,1
71,0,573,6,20569,13,26.875000,13,23.250000,1,1
72,0,575,7,561,561,18.750000,18826,22.500000,0,0
73,0,576,7,18826,18826,20.125000,37536,24.125000,0,0
74,0,577,7,37536,37536,20.750000,279,23.500000,0,0
75,0,578,7,279,279,24.625000,7258,24.375000,0,0
76,0,579,7,7258,7258,19.750000,1083,24.875000,0,0
77,0,580,7,1083,1083,25.000000,2250,24.375000,0,0
78,0,581,7,2250,2250,25.250000,40257,24.125000,0,0
79,0,582,7,40257,40257,23.500000,1970,24.000000,0,0
80,0,583,7,1970,1970,21.125000,1518,24.500000,0,0
81,0,584,7,1518,1518,22.500000,4025,24.750000,0,0
82,0,585,7,4025,4025,16.375000,23014,24.125000,0,0
83,0,586,7,23014,13,18.250000,13,22.875000,1,1
84,0,588,8,43404,43404,17.125000,303,24.250000,0,0
85,0,589,8,303,264,31.875000,264,24.000000,1,1
86,0,591,9,4098,4098,23.750000,1785,24.125000,0,0
87,0,592,9,1785,369,17.125000,3749,24.000000,0,0
88,0,593,9,3749,264,32.250000,264,22.500000,1,1
89,0,595,10,14733,5215,24.000000,3269,24.750000,0,0
90,0,596,10,3269,3269,24.375000,1328,23.750000,0,0
91,0,597,10,1328,1328,24.875000,466,23.000000,0,0
92,0,598,10,466,264,22.375000,279,23.000000,0,0
93,0,599,10,279,279,23.750000,2849,25.875000,0,0
94,0,600,10,2849,2849,22.125000,668,24.500000,0,0
95,0,601,10,668,1436,23.125000,1436,23.500000,1,1
96,0,603,11,40922,40922,20.500000,13,23.375000,0,0
97,0,604,11,13,271,24.000000,1473,22.750000,0,0
98,0,605,11,1473,26946,16.625000,850,24.250000,0,0
99,0,606,11,850,850,19.000000,3157,27.125000,0,0
100,0,607,11,3157,517,22.625000,61386,26.250000,0,0
101,0,608,11,61386,61386,20.500000,21979,24.250000,0,0
102,0,609,11,21979,21979,18.500000,4687,24.125000,0,0
103,0,610,11,4687,4687,20.750000,369,23.625000,0,0
104,0,611,11,369,279,27.125000,279,23.000000,1,1
105,0,613,12,43070,43070,25.875000,8782,24.125000,0,0
106,0,614,12,8782,2272,21.125000,2272,23.625000,1,1
107,0,616,13,39219,39219,22.250000,3790,23.250000,0,0
108,0,617,13,3790,26946,24.250000,26946,23.250000,1,1
109,0,619,14,13,271,23.250000,357,20.875000,0,0
110,0,620,14,357,357,19.000000,2438,21.875000,0,0
111,0,621,14,2438,2438,21.375000,35721,24.875000,0,0
112,0,622,14,35721,35721,24.125000,4757,24.375000,0,0
